Face_file,Sound_file,Face_emotion,Sound_emotion,Congruency,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,key_instruct.started,Instruction.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,Fixation.started,Image.started,key_resp.started,Sound.started,Fixation.stopped,Image.stopped,Sound.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,86,5,9,s,1,2.3108315,None,9,5,86,2,288.6971304,,,,,,,,288.6859482,288.6971304,289.1612471,289.1612471,289.1610134,289.211493,291.1662132,291.1662132,291.4783327,s,1,2.3108315,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,89,8,9,a,1,2.3013326,None,9,8,89,0,298.9874462,,,,,,,,298.9847183,298.9874462,299.3272146,299.3272146,299.3270023,299.493948,301.3269083,301.3269083,301.6442143,a,1,2.3013326,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,91,1,10,a,1,2.333989,None,10,1,91,0,304.5076779,,,,,,,,304.5053496,304.5076779,304.8767906,304.8767906,304.8767217,305.0103037,306.8765497,306.8765497,307.227014,a,1,2.333989,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,95,5,10,h,1,2.3060096,None,10,5,95,1,316.0798285,,,,,,,,316.0704208,316.0798285,316.4101218,316.4101218,316.4096097,316.5938129,318.4092599,318.4092599,318.7266656,h,1,2.3060096,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,98,8,10,s,1,2.399216,None,10,8,98,2,324.3608748,,,,,,,,324.3586498,324.3608748,324.8425923,324.8425923,324.8421361,324.8757369,326.842274,326.842274,327.2426,s,1,2.399216,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,100,1,11,a,1,2.5424826,None,11,1,100,0,331.0095739,,,,,,,,331.007199,331.0095739,331.3586051,331.3586051,331.3584942,331.5085948,333.3583072,333.3583072,333.9086511,a,1,2.5424826,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,104,5,11,h,1,2.4078158,None,11,5,104,1,343.0834359,,,,,,,,343.0742163,343.0834359,343.4086089,343.4086089,343.4077324,343.591733,345.4076406,345.4076406,345.824875,h,1,2.4078158,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,106,7,11,s,1,2.3033769,None,11,7,106,2,348.8651168,,,,,,,,348.8629609,348.8651168,349.3407743,349.3407743,349.3405748,349.3741024,351.3457478,351.3457478,351.669179,s,1,2.3033769,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Happy.wav,Sad,Happy,I,h,0,0,0,h,1,3.1115808,None,0,0,0,6,10.7822571,,,,,,,,10.7791594,10.7822571,11.2115366,11.2115366,11.21186567,11.2950164,13.2112243,13.2112243,14.3285164,h,1,3.1115808,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Happy.jpg,Sound_file/Sad.wav,Happy,Sad,I,s,1,1,0,s,1,4.2986228,None,0,1,1,8,14.4941345,,,,,,,,14.4860457,14.4941345,14.8289619,14.8289619,14.82823797,14.995313,16.828081,16.828081,19.128616,s,1,4.2986228,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
