stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank.started,text.started,text.stopped,Thank.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
22,0.5,11.0,32.40439479998895,,32.38827619998483,32.40439479998895,32.88845779999974,32.88845779999974,32.88845779999974,33.188213499990525,33.32244409999112,right,11.0,1,1,0.4234221999940928,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
23,0.5,10.5,33.338526900013676,,33.32270950000384,33.338526900013676,33.82166839999263,33.82166839999263,33.82166839999263,34.12209220000659,34.190028799988795,right,10.5,1,1,0.3661747000005562,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
24,0.5,10.5,34.20503219999955,,34.19027970000752,34.20503219999955,34.68868610000936,34.68868610000936,34.68868610000936,34.988211999996565,35.08983609999996,right,10.5,0,0,0.39057170000160113,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
25,0.5,11.0,35.10502990000532,,35.090095499996096,35.10502990000532,35.60494310001377,35.60494310001377,35.60494310001377,35.90436809998937,36.08922319998965,left,-11.0,0,0,0.48005379998357967,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
26,0.5,11.5,36.105403099994874,,36.089474100008374,36.105403099994874,36.604965700011235,36.604965700011235,36.604965700011235,36.90488119999645,37.78729259999818,right,11.5,1,1,1.1760284999909345,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
27,0.5,11.5,37.804778399993666,,37.787439000007,37.804778399993666,38.28782960001263,38.28782960001263,38.28782960001263,38.588034199987305,39.072184599994216,right,11.5,1,1,0.7704777999897487,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
28,0.5,11.5,39.08784699998796,,39.07262349998928,39.08784699998796,39.5885464999883,39.5885464999883,39.5885464999883,39.899302800011355,40.172104400000535,right,11.5,1,1,0.5703986999869812,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
29,0.5,11.0,40.1880828999856,,40.17237789998762,40.1880828999856,40.67138019998674,40.67138019998674,40.67138019998674,40.97118839999894,41.07193189999089,right,11.0,1,1,0.3982605999917723,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
30,0.5,11.0,41.087889599992195,,41.072178400005214,41.087889599992195,41.58762020000722,41.58762020000722,41.58762020000722,41.88819520000834,42.07337759999791,left,-11.0,1,1,0.48319810000248253,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
31,0.5,11.0,42.08819209999638,,42.073621799994726,42.08819209999638,42.587681800010614,42.587681800010614,42.587681800010614,42.88782569998875,43.0367217999883,right,11.0,0,0,0.43881180000607856,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
32,0.5,11.5,43.05399220000254,,43.0368565999961,43.05399220000254,43.53787450000527,43.53787450000527,43.53787450000527,43.83812249999028,44.00380700000096,left,-11.5,1,1,0.46461269998690113,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
33,0.5,11.5,44.0204575000098,,44.00401460001012,44.0204575000098,44.50475439999718,44.50475439999718,44.50475439999718,44.80425350001315,44.80476689999341,right,11.5,1,1,0.28938950001611374,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
34,0.5,11.5,44.82105989998672,,44.805002100009006,44.82105989998672,45.30464159999974,45.30464159999974,45.30464159999974,45.60429079999449,46.07198189999326,left,-11.5,1,1,0.7652495999936946,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
35,0.5,11.0,46.0874971000012,,46.072234099992784,46.0874971000012,46.57134140000562,46.57134140000562,46.57134140000562,46.870760699996026,47.33816320000915,left,-11.0,1,1,0.7548238000017591,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
36,0.5,11.0,47.35519589998876,,47.33843750000233,47.35519589998876,47.83772670000326,47.83772670000326,47.83772670000326,48.13758219999727,48.28847530001076,right,11.0,1,1,0.4400272000057157,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
